mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_svm__C,param_svm__gamma,param_svm__kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.3461435794830322,0.027055393595787795,0.01795186996459961,0.0016735141644571093,10.0,scale,linear,"{'svm__C': 10, 'svm__gamma': 'scale', 'svm__kernel': 'linear'}",0.7383177570093458,0.7627906976744186,0.7605633802816901,0.7733333333333333,0.7579908675799086,0.7585992071757393,0.011403756750600354,31,0.7727797001153403,0.7737556561085973,0.7676537585421412,0.768,0.768348623853211,0.7701075477238579,0.0026079012684337016
0.0738405704498291,0.0026052983951253797,0.037234163284301756,0.0014869121408040632,10.0,scale,rbf,"{'svm__C': 10, 'svm__gamma': 'scale', 'svm__kernel': 'rbf'}",0.851063829787234,0.8225108225108225,0.8558558558558559,0.8512396694214877,0.8583690987124464,0.8478078552575692,0.012950897739745148,3,0.9709989258861439,0.9751351351351352,0.9629629629629629,0.9721030042918455,0.9666307857911733,0.969566162813452,0.004283001610017466
0.382448148727417,0.039665660090128445,0.01911921501159668,0.0022137980628410075,10.0,0.001,linear,"{'svm__C': 10, 'svm__gamma': 0.001, 'svm__kernel': 'linear'}",0.7383177570093458,0.7627906976744186,0.7605633802816901,0.7733333333333333,0.7579908675799086,0.7585992071757393,0.011403756750600354,31,0.7727797001153403,0.7737556561085973,0.7676537585421412,0.768,0.768348623853211,0.7701075477238579,0.0026079012684337016
0.06639070510864258,0.004723020209577207,0.04584660530090332,0.002380449331202144,10.0,0.001,rbf,"{'svm__C': 10, 'svm__gamma': 0.001, 'svm__kernel': 'rbf'}",0.7589285714285714,0.7557603686635944,0.7614678899082569,0.7857142857142857,0.782608695652174,0.7688959622733764,0.012633004542680477,13,0.7851518560179978,0.7790178571428571,0.7787610619469026,0.7782805429864253,0.7751412429378531,0.7792705122064072,0.0032540584790970713
0.32863197326660154,0.029207022738971206,0.01861228942871094,0.0015630846316906646,10.0,0.01,linear,"{'svm__C': 10, 'svm__gamma': 0.01, 'svm__kernel': 'linear'}",0.7383177570093458,0.7627906976744186,0.7605633802816901,0.7733333333333333,0.7579908675799086,0.7585992071757393,0.011403756750600354,31,0.7727797001153403,0.7737556561085973,0.7676537585421412,0.768,0.768348623853211,0.7701075477238579,0.0026079012684337016
0.0680398941040039,0.004839336802079287,0.03912200927734375,0.005224432601762431,10.0,0.01,rbf,"{'svm__C': 10, 'svm__gamma': 0.01, 'svm__kernel': 'rbf'}",0.8125,0.8378378378378378,0.8186046511627907,0.8547008547008547,0.8407079646017699,0.8328702616606506,0.015369687023205233,7,0.8689809630459127,0.8777292576419214,0.8730512249443207,0.8736383442265795,0.8662131519274376,0.8719225883572344,0.003979594721795904
0.34297356605529783,0.04588163374264321,0.018027067184448242,0.0023167515872554102,10.0,0.1,linear,"{'svm__C': 10, 'svm__gamma': 0.1, 'svm__kernel': 'linear'}",0.7383177570093458,0.7627906976744186,0.7605633802816901,0.7733333333333333,0.7579908675799086,0.7585992071757393,0.011403756750600354,31,0.7727797001153403,0.7737556561085973,0.7676537585421412,0.768,0.768348623853211,0.7701075477238579,0.0026079012684337016
0.10435113906860352,0.02859856787345773,0.04488096237182617,0.008814539142921286,10.0,0.1,rbf,"{'svm__C': 10, 'svm__gamma': 0.1, 'svm__kernel': 'rbf'}",0.8571428571428571,0.8138528138528138,0.8584070796460177,0.8523206751054853,0.8583690987124464,0.8480185048919239,0.017228547208539224,2,0.9816612729234089,0.9838187702265372,0.9752421959095802,0.9806451612903225,0.9806034482758621,0.9803941697251422,0.0028278284100359532
0.5159155368804932,0.12332907507804013,0.024875307083129884,0.0048501909761229514,10.0,1,linear,"{'svm__C': 10, 'svm__gamma': 1, 'svm__kernel': 'linear'}",0.7383177570093458,0.7627906976744186,0.7605633802816901,0.7733333333333333,0.7579908675799086,0.7585992071757393,0.011403756750600354,31,0.7727797001153403,0.7737556561085973,0.7676537585421412,0.768,0.768348623853211,0.7701075477238579,0.0026079012684337016
0.11687150001525878,0.006398851179595678,0.06486706733703614,0.0014518355588422564,10.0,1,rbf,"{'svm__C': 10, 'svm__gamma': 1, 'svm__kernel': 'rbf'}",0.7298245614035088,0.7310344827586207,0.7586206896551724,0.762589928057554,0.7535211267605634,0.7471181577270839,0.013931511078509361,36,1.0,1.0,1.0,1.0,1.0,1.0,0.0
